id,iq,torque,current angle
-0.0,1.0,0.010532516590469243,-0.0
-0.0,11.0,0.11585768249516168,-0.0
-0.0,21.0,0.2211828483998541,-0.0
-0.2705226005,30.9988196161,0.3265101596828619,-0.5
-0.35778795550000003,40.9984388471,0.43184223709819036,-0.5
-0.4450533105,50.9980580781,0.537177348393087,-0.5
-0.5323186655000001,60.9976773091,0.6425154935675517,-0.5
-0.6195840205,70.9972965401,0.7478566726215847,-0.5
-1.4136449184,80.98766331120001,0.8532029299698499,-1.0
-1.5881689823999998,90.9861402632,0.9585642291269845,-1.0
-1.7626930464,100.9846172152,1.0639315951190924,-1.0
-1.9372171103999998,110.98309416720001,1.1693050279461736,-1.0
-2.1117411743999996,120.98157111920001,1.2746845276082281,-1.0
-2.2862652384,130.9800480712,1.380070094105256,-1.0
-3.6909497103,140.951682825,1.485480318771672,-1.5
-3.9527191932999997,150.94825607500002,1.590902222333962,-1.5
-4.2144886763,160.944829325,1.696333223838637,-1.5
-4.4762581592999995,170.941402575,1.8017733232856976,-1.5
-4.7380276423,180.937975825,1.907222520675143,-1.5
-6.6658038696999995,190.883647957,2.012697082780158,-2.0
-7.0147988367,200.877556227,2.1181957624955134,-2.0
-7.363793803699999,210.871464497,2.2237065684893356,-2.0
-7.7127887707,220.865372767,2.3292295007616244,-2.0
-8.061783737699999,230.85928103700002,2.4347645593123803,-2.0
-10.512272363400001,240.7706214056,2.5403204676008464,-2.5
-10.9484662374,250.7611036216,2.6459180999388137,-2.5
-11.3846601114,260.7515858376,2.751530883197559,-2.5
-11.8208539854,270.7420680536,2.8571588173770843,-2.5
-12.2570478594,280.7325502696,2.9628019024773877,-2.5
-12.6932417334,290.72303248559996,3.0684601384984695,-2.5
-15.7531228162,300.5874899748,3.1741742553157697,-3.0
-16.2764823782,310.5737853228,3.279911107752675,-3.0
-16.7998419402,320.5600806708,3.3856661311375147,-3.0
-17.3232015022,330.5463760188,3.491439325470287,-3.0
-17.8465610642,340.5326713668,3.5972306907509934,-3.0
-21.4280373645,350.34531423839996,3.703068171619192,-3.5
-22.0385227595,360.3266622224,3.8089510865223977,-3.5
-22.6490081545,370.3080102064,3.9148551868656725,-3.5
-23.2594935495,380.2893581904,4.020780472649016,-3.5
-23.869978944499998,390.2707061744,4.126726943872431,-3.5
-27.9723459537,400.0231841703,4.232702501858675,-4.0
-28.6699106907,409.99882467329996,4.3387533562009075,-4.0
-29.3674754277,419.9744651763,4.444828404022052,-4.0
-30.0650401647,429.95010567929995,4.5509276453221075,-4.0
-30.7626049017,439.9257461823,4.657051080101076,-4.0
-31.460169638700002,449.9013866853,4.763198708358957,-4.0
-36.1696431177,459.5788908357,4.869418930195934,-4.5
-36.9542340747,469.5480641727,4.9756866610668915,-4.5
-37.738825031699996,479.5172375097,5.081981586086044,-4.5
-38.523415988699995,489.4864108467,5.188303705253387,-4.5
-39.3080069457,499.4555841837,5.294653018568922,-4.5
-44.5365845197,509.05549072910003,5.401047091115765,-5.0
-45.4081419467,519.0174377101,5.507529088113769,-5.0
-46.2796993737,528.9793846911,5.6140412716456325,-5.0
-47.1512568007,538.9413316721,5.720583641711359,-5.0
-48.022814227699996,548.9032786531001,5.827156198310948,-5.0
-48.894371654699995,558.8652256341,5.933758941444396,-5.0
-54.727924677500006,568.3712292864001,6.040452852628938,-5.5
-55.686382202500006,578.3251912704001,6.147203698493843,-5.5
-56.644839727500006,588.2791532544001,6.253987714083185,-5.5
-57.603297252500006,598.2331152384,6.360804899396963,-5.5
-58.561754777500006,608.1870772224,6.4676552544351775,-5.5
-64.9121757093,617.5980970434,6.574552952620904,-6.0
-65.9574603423,627.5433159974,6.68156367623085,-6.0
-67.0027449753,637.4885349514,6.7886105426519965,-6.0
-68.0480296083,647.4337539054001,6.895693551884344,-6.0
-69.09331424129999,657.3789728594,7.002812703927889,-6.0
-70.1385988743,667.3241918134,7.109967998782634,-6.0
-77.09138859779999,676.6224337317,7.217213619726994,-6.5
-78.22342073579999,686.5581522887,7.324544335617514,-6.5
-79.35545287379999,696.4938708456999,7.431914156396528,-6.5
-80.48748501179999,706.4295894027,7.539323082064036,-6.5
-81.61951714979999,716.3653079597,7.646771112620038,-6.5
-82.75154928779999,726.3010265167,7.754258248064533,-6.5
-90.3051834594,735.4766983356001,7.861878682774372,-7.0
-91.5238768934,745.4021598516,7.9695560778914825,-7.0
-92.7425703274,755.3276213676,8.077275528062637,-7.0
-93.96126376139999,765.2530828836,8.185037033287838,-7.0
-95.1799571954,775.1785443996,8.292840593567083,-7.0
-103.2462180302,784.2328853674,8.400700353930443,-7.5
-104.5514799522,794.1473339814,8.508705844217705,-7.5
-105.8567418742,804.0617825954,8.6167563269142,-7.5
-107.1620037962,813.9762312094,8.724851802019923,-7.5
-108.4672657182,823.8906798234,8.832992269534884,-7.5
-109.7725276402,833.8051284374,8.941177729459078,-7.5
-118.436308951,842.7181264637,9.049446938434528,-8.0
-119.82803996099999,852.6208071507,9.157848701737993,-8.0
-121.21977097099999,862.5234878376999,9.266298381100775,-8.0
-122.61150198099999,872.4261685247,9.374795976522872,-8.0
-124.00323299099999,882.3288492117,9.483341488004289,-8.0
-125.39496400099999,892.2315298986999,9.591934915545021,-8.0
-134.65437351210002,900.9934515574,9.700632622231835,-8.5
-136.1324676231,910.8836101914001,9.809456462538735,-8.5
-137.6105617341,920.7737688254,9.918331127959306,-8.5
-139.08865584510002,930.6639274594,10.027256618493542,-8.5
-140.5667499561,940.5540860934,10.136232934141445,-8.5
-142.0448440671,950.4442447274,10.245260074903015,-8.5
-151.897865515,959.0453787226,10.354402261535329,-9.0
-153.462210165,968.9222621286,10.463673643645292,-9.0
-155.026554815,978.7991455346,10.572998744441469,-9.0
-156.590899465,988.6760289406,10.682377563923854,-9.0
-158.155244115,998.5529123466,10.79181010209245,-9.0
-159.719588765,1008.4297957526,10.901296358947254,-9.0
-170.16408168290002,1016.8604551465,11.010895762679745,-9.5
-171.81455774190002,1026.7233111615,11.120639792066287,-9.5
-173.46503380090002,1036.5861671764999,11.23044041734838,-9.5
-175.11550985990002,1046.4490231915,11.340297638526026,-9.5
-176.76598591890001,1056.3118792065,11.450211455599224,-9.5
-178.4164619779,1066.1747352215,11.560181868567973,-9.5
-189.4501618707,1074.425258523,11.670247794097254,-10.0
-191.18664364769998,1084.273336053,11.780489196893122,-10.0
-192.92312542469998,1094.121413583,11.890790055554197,-10.0
-194.6596072017,1103.969491113,12.001150370080477,-10.0
-196.3960889787,1113.817568643,12.11157014047197,-10.0
-198.1325707557,1123.665646173,12.222049366728672,-10.0
-199.86905253269998,1133.513723703,12.332588048850585,-10.0
-211.5754451055,1141.5589477236,12.443350608253045,-10.5
-213.39780036049999,1151.3914967996,12.554176009144419,-10.5
-215.2201556155,1161.2240458756,12.66506370775982,-10.5
-217.0425108705,1171.0565949516001,12.776013704099254,-10.5
-218.8648661255,1180.8891440276,12.887025998162716,-10.5
-220.6872213805,1190.7216931036,12.998100589950205,-10.5
-232.97778338339998,1198.5667909314,13.109346959836028,-11.0
-234.88587333739997,1208.3830627654,13.220720792124483,-11.0
-236.7939632914,1218.1993345994,13.332159745019299,-11.0
-238.70205324539998,1228.0156064334,13.443663818520482,-11.0
-240.61014319939997,1237.8318782674,13.555233012628031,-11.0
-242.5182331534,1247.6481501014,13.666867327341944,-11.0
-255.3903239664,1255.2835465926,13.77859510240592,-11.5
-257.3840033104,1265.0827936386002,13.890540816180424,-11.5
-259.3776826544,1274.8820406846,14.002554453607242,-11.5
-261.3713619984,1284.6812877306,14.11463601468638,-11.5
-263.3650413424,1294.4805347766,14.22678549941784,-11.5
-265.3587206864,1304.2797818226,14.339002907801621,-11.5
-267.3524000304,1314.0790288686,14.451288239837721,-11.5
-280.8886942708,1321.4774085457,14.563746112748365,-12.0
-282.9678111788,1331.2588845527,14.676357405767648,-12.0
-285.0469280868,1341.0403605597,14.789039404795014,-12.0
-287.1260449948,1350.8218365666999,14.901792109830463,-12.0
-289.2051619028,1360.6033125737,15.014615520874,-12.0
-291.2842788108,1370.3847885807,15.12750963792562,-12.0
-293.3633957188,1380.1662645877,15.240474460985327,-12.0
-307.5606913519,1387.3166260891,15.353671517614602,-12.5
