id,iq,torque,current angle
-0.0,1.0,0.04848117061174041,-0.0
-0.1919764704,10.9983246472,0.5333549909793436,-1.0
-0.5497159143,20.992803825,1.0185391217491704,-1.5
-1.3522010094,30.9704948696,1.5043288278236737,-2.5
-2.5029901194999997,40.9235267344,1.9909741971173367,-3.5
-3.5575801587,50.8757665653,2.4788038470110054,-4.0
-5.3165003047,60.7678765841,2.968030115322011,-5.0
-6.8050484275,70.67313008640001,3.4589651067412217,-5.5
-9.169460317799999,80.4793203117,3.9518287837426467,-6.5
-11.0901102494,90.3216997956,4.4469023297120245,-7.0
-14.056483200999999,100.01707493869999,4.944386000279411,-8.0
-16.4068446321,109.78076083740001,5.444574333762066,-8.5
-18.928570264999998,119.5102892126,5.947569234763037,-9.0
-22.7479112787,129.009815643,6.453774255639936,-10.0
-25.6952090955,138.6389419716,6.9632148497273665,-10.5
-30.1045580944,147.9686303946,7.4760957934440295,-11.5
-33.4737822188,157.4817637127,7.9927657150396545,-12.0
-37.0111739769,166.9466172141,8.513231932741405,-12.5
-40.7161408283,176.3609817288,9.037663522875507,-13.0
-44.588064504900004,185.7226547964,9.566222445777703,-13.5
-50.3263808241,194.5976757204,10.099164549034672,-14.5
-54.6108185161,203.8103493493,10.63656031374529,-15.0
-59.0596811181,212.9623301572,11.17850722850822,-15.5
-63.6722291898,222.0514517529,11.725131232663704,-16.0
-68.4476980727,231.0755561109,12.276549627001835,-16.5
-73.3852978797,240.032493756,12.832870812723725,-17.0
-78.4842136695,248.92012413269998,13.394194049145534,-17.5
-83.7436054824,257.7363159173,13.96060921276565,-18.0
-89.1626084484,266.4789471112,14.53219655215713,-18.5
-94.7403329595,275.14590549959996,15.109026470507956,-19.0
-100.4758646192,283.73508882109996,15.69115929545975,-19.5
-103.8139332112,293.16150373209996,16.278893736820553,-19.5
-109.7884659993,301.64133127680003,16.87211112777031,-20.0
-115.9186432103,310.0384946252,17.470825836916728,-20.5
-122.2034707795,318.3509254365,18.07506192008838,-21.0
-125.78715027450001,327.6867297015,18.68484338804087,-21.0
-132.3069428387,335.880742048,19.300732869968044,-21.5
-138.9790461514,343.9852100566,19.92224745014814,-22.0
-145.80238774440002,351.9981018825,20.549372604246848,-22.5
-149.6292220684,361.2368972075,21.182572372629554,-22.5
-156.6831825285,369.1224462535,21.82173483983975,-23.0
-163.8858673179,376.9116905784,22.466515619812412,-23.5
-167.8733580069,386.0822913224,23.11765772088814,-23.5
-175.3034931761,393.73809222560004,23.774672647448405,-24.0
-179.37085960710002,402.8735468016,24.437530667684946,-24.0
-187.0266524577,410.3925331759,25.106909742974658,-24.5
-194.8270186437,417.80788980700004,25.781811374124104,-25.0
-199.0532012607,426.870967677,26.463539723718856,-25.0
-207.07583756079998,434.1435217483,27.150843895073137,-25.5
