Length,B.n,time,angle_value
0.0,-0.009816389559942884,0.0,0.25
0.0023065933781434107,-0.01909208229204296,4.1666666666666665e-05,0.5
0.004613186756286821,-0.028364503694128598,8.333333333333333e-05,0.75
0.006919780134430232,-0.03763206498452711,0.000125,1.0
0.009226373512573643,-0.04689317821432092,0.00016666666666666666,1.25
0.011532966890717054,-0.05614625653943447,0.00020833333333333332,1.5
0.013839560268860464,-0.06538971449253167,0.00025,1.75
0.016146153647003874,-0.07462196825467778,0.00029166666666666664,2.0
0.018452747025147286,-0.08384143592671836,0.0003333333333333333,2.25
0.020759340403290697,-0.09304653780032981,0.000375,2.5
0.02306593378143411,-0.10223569662869403,0.00041666666666666664,2.75
0.025372527159577517,-0.11140733789675178,0.0004583333333333333,3.0
0.02767912053772093,-0.12055989009098741,0.0005,3.25
0.02998571391586434,-0.1296917849687,0.0005416666666666666,3.5
0.03229230729400775,-0.13880145782671333,0.0005833333333333333,3.75
0.03459890067215116,-0.14788734776947987,0.000625,4.0
0.03690549405029457,-0.1569478979765323,0.0006666666666666666,4.25
0.03921208742843798,-0.16598155596923642,0.0007083333333333333,4.5
0.041518680806581394,-0.17498677387680056,0.00075,4.75
0.0438252741847248,-0.18396200870149534,0.0007916666666666666,5.0
0.04613186756286822,-0.1929057225830381,0.0008333333333333333,5.25
0.048438460941011625,-0.2018163830620977,0.000875,5.5
0.050745054319155034,-0.2106924633428731,0.0009166666666666666,5.75
0.05305164769729845,-0.2195324425547025,0.0009583333333333333,6.0
0.05535824107544186,-0.22833480601265627,0.001,6.25
0.057664834453585265,-0.23709804547707056,0.0010416666666666667,6.5
0.05997142783172868,-0.24582065941197637,0.0010833333333333333,6.75
0.06227802120987209,-0.25450115324238015,0.001125,7.0
0.0645846145880155,-0.2631380396103514,0.0011666666666666665,7.25
0.06689120796615891,-0.2717298386298738,0.0012083333333333334,7.5
0.06919780134430233,-0.2802750781404159,0.00125,7.75
0.07150439472244573,-0.2887722939591788,0.0012916666666666667,8.0
0.07381098810058914,-0.29722003013197545,0.0013333333333333333,8.25
0.07611758147873256,-0.30561683918270205,0.001375,8.5
0.07842417485687596,-0.31396128236135434,0.0014166666666666666,8.75
0.08073076823501937,-0.3222519298905512,0.0014583333333333332,9.0
0.08303736161316279,-0.33048736121051875,0.0015,9.25
0.08534395499130619,-0.3386661652224966,0.0015416666666666667,9.5
0.0876505483694496,-0.34678694053052156,0.0015833333333333333,9.75
0.08995714174759302,-0.35484829568155074,0.001625,10.0
0.09226373512573643,-0.3628488494038789,0.0016666666666666666,10.25
0.09457032850387984,-0.37078723084381265,0.0017083333333333332,10.5
0.09687692188202325,-0.37866207980055927,0.00175,10.75
0.09918351526016667,-0.3864720469592897,0.0017916666666666667,11.0
0.10149010863831007,-0.3942157941223372,0.0018333333333333333,11.25
0.10379670201645348,-0.40189199443849033,0.001875,11.5
0.1061032953945969,-0.4094993326303421,0.0019166666666666666,11.75
0.1084098887727403,-0.41703650521965585,0.001958333333333333,12.0
0.11071648215088371,-0.42450222075071015,0.002,12.25
0.11302307552902713,-0.43189520001158216,0.0020416666666666665,12.5
0.11532966890717053,-0.4392141762533347,0.0020833333333333333,12.75
0.11763626228531394,-0.44645789540706704,0.0021249999999999997,13.0
0.11994285566345736,-0.4536251162987929,0.0021666666666666666,13.25
0.12224944904160076,-0.46071461086210946,0.0022083333333333334,13.5
0.12455604241974418,-0.46772516434862016,0.00225,13.75
0.1268626357978876,-0.47465557553607535,0.0022916666666666667,14.0
0.129169229176031,-0.4815046569341961,0.002333333333333333,14.25
0.13147582255417442,-0.48827123498814384,0.002375,14.5
0.13378241593231782,-0.4949541502796035,0.002416666666666667,14.75
0.13608900931046122,-0.5015522577254437,0.002458333333333333,15.0
0.13839560268860465,-0.5080644267739207,0.0025,15.25
0.14070219606674805,-0.514489541598393,0.0025416666666666665,15.5
0.14300878944489145,-0.5208265012885115,0.0025833333333333333,15.75
0.14531538282303488,-0.5270742200388567,0.0026249999999999997,16.0
0.14762197620117828,-0.5332316273349835,0.0026666666666666666,16.25
0.14992856957932169,-0.5392976681368504,0.0027083333333333334,16.5
0.15223516295746511,-0.545271303059594,0.00275,16.75
0.15454175633560852,-0.5511515085516228,0.0027916666666666667,17.0
0.15684834971375192,-0.5569372770699969,0.002833333333333333,17.25
0.15915494309189535,-0.5626276172530662,0.002875,17.5
0.16146153647003875,-0.5682215540903338,0.0029166666666666664,17.75
0.16376812984818215,-0.5737181290895207,0.002958333333333333,18.0
0.16607472322632558,-0.579116400440797,0.003,18.25
0.16838131660446898,-0.5844154431781573,0.0030416666666666665,18.5
0.17068790998261238,-0.5896143493379079,0.0030833333333333333,18.75
0.1729945033607558,-0.5947122281142424,0.0031249999999999997,19.0
0.1753010967388992,-0.5997082060118764,0.0031666666666666666,19.25
0.1776076901170426,-0.6046014269957166,0.0032083333333333334,19.5
0.17991428349518604,-0.6093910526375377,0.00325,19.75
0.18222087687332944,-0.6140762622596431,0.0032916666666666667,20.0
0.18452747025147287,-0.6186562530754836,0.003333333333333333,20.25
0.18683406362961627,-0.6231302403272105,0.003375,20.5
0.18914065700775967,-0.6274974574201407,0.0034166666666666664,20.75
0.1914472503859031,-0.6317571560541078,0.0034583333333333332,21.0
0.1937538437640465,-0.6359086063516795,0.0035,21.25
0.1960604371421899,-0.6399510969832196,0.0035416666666666665,21.5
0.19836703052033333,-0.6438839352887686,0.0035833333333333333,21.75
0.20067362389847673,-0.6477064473967296,0.0036249999999999998,22.0
0.20298021727662013,-0.6514179783393311,0.0036666666666666666,22.25
0.20528681065476356,-0.655017892164853,0.003708333333333333,22.5
0.20759340403290696,-0.6585055720465937,0.00375,22.75
0.20989999741105037,-0.6618804203885601,0.0037916666666666667,23.0
0.2122065907891938,-0.6651418589278628,0.003833333333333333,23.25
0.2145131841673372,-0.668289328833798,0.003875,23.5
0.2168197775454806,-0.6713222908036001,0.003916666666666666,23.75
0.21912637092362403,-0.6742402251548497,0.003958333333333333,24.0
0.22143296430176743,-0.6770426319145171,0.004,24.25
0.22373955767991083,-0.679729030904631,0.0040416666666666665,24.5
0.22604615105805426,-0.6822989618245539,0.004083333333333333,24.75
0.22835274443619766,-0.684751984329853,0.004125,25.0
0.23065933781434106,-0.6870876781077498,0.004166666666666667,25.25
0.2329659311924845,-0.6893056429491402,0.004208333333333333,25.5
0.2352725245706279,-0.6914054988171663,0.0042499999999999994,25.75
0.2375791179487713,-0.6933868859123352,0.004291666666666667,26.0
0.23988571132691472,-0.6952494647341684,0.004333333333333333,26.25
0.24219230470505812,-0.6969929161393736,0.0043749999999999995,26.5
0.24449889808320152,-0.6986169413965274,0.004416666666666667,26.75
0.24680549146134495,-0.700121262237263,0.004458333333333333,27.0
0.24911208483948835,-0.7015056209039483,0.0045,27.25
0.25141867821763175,-0.7027697801938525,0.004541666666666667,27.5
0.2537252715957752,-0.7039135234997893,0.004583333333333333,27.75
0.2560318649739186,-0.7049366548472309,0.004625,28.0
0.258338458352062,-0.7058389989278885,0.004666666666666666,28.25
0.2606450517302054,-0.7066204011297487,0.0047083333333333335,28.5
0.26295164510834884,-0.7072807275635672,0.00475,28.75
0.2652582384864922,-0.7078198650858086,0.004791666666666666,29.0
0.26756483186463564,-0.7082377213180342,0.004833333333333334,29.25
0.2698714252427791,-0.70853422466273,0.004875,29.5
0.27217801862092245,-0.7087093243155739,0.004916666666666666,29.75
0.2744846119990659,-0.7087629902741417,0.004958333333333333,30.0
0.2767912053772093,-0.7086952133430482,0.005,30.25
0.2790977987553527,-0.708506005135521,0.0050416666666666665,30.5
0.2814043921334961,-0.7081953980714127,0.005083333333333333,30.75
0.28371098551163954,-0.7077634453716447,0.005125,31.0
0.2860175788897829,-0.7072102210490887,0.005166666666666667,31.25
0.28832417226792634,-0.706535819895884,0.005208333333333333,31.5
0.29063076564606977,-0.7057403574671964,0.0052499999999999995,31.75
0.29293735902421314,-0.7048239700614182,0.005291666666666667,32.0
0.29524395240235657,-0.7037868146968135,0.005333333333333333,32.25
0.2975505457805,-0.7026290690846151,0.005375,32.5
0.29985713915864337,-0.7013509315985731,0.005416666666666667,32.75
0.3021637325367868,-0.6999526212409662,0.005458333333333333,33.0
0.30447032591493023,-0.698434377605076,0.0055,33.25
0.3067769192930736,-0.696796460834133,0.005541666666666666,33.5
0.30908351267121703,-0.6950391515767439,0.005583333333333333,33.75
0.31139010604936046,-0.6931627509388035,0.005625,34.0
0.31369669942750383,-0.6911675804319013,0.005666666666666666,34.25
0.31600329280564726,-0.6890539819182326,0.0057083333333333335,34.5
0.3183098861837907,-0.6868223175520218,0.00575,34.75
0.32061647956193406,-0.6844729697174693,0.005791666666666666,35.0
0.3229230729400775,-0.6820063409632323,0.005833333333333333,35.25
0.3252296663182209,-0.6794228539334495,0.005875,35.5
0.3275362596963643,-0.6767229512953236,0.005916666666666666,35.75
0.3298428530745077,-0.6739070956632724,0.005958333333333333,36.0
0.33214944645265115,-0.6709757695196626,0.006,36.25
0.3344560398307945,-0.6679294751321384,0.0060416666666666665,36.5
0.33676263320893796,-0.6647687344675605,0.006083333333333333,36.75
0.3390692265870814,-0.6614940891025703,0.006124999999999999,37.0
0.34137581996522476,-0.6581061001307935,0.006166666666666667,37.25
0.3436824133433682,-0.6546053480666987,0.006208333333333333,37.5
0.3459890067215116,-0.6509924327461301,0.0062499999999999995,37.75
0.348295600099655,-0.6472679732235286,0.006291666666666667,38.0
0.3506021934777984,-0.64343260766586,0.006333333333333333,38.25
0.35290878685594185,-0.6394869932432679,0.006375,38.5
0.3552153802340852,-0.6354318060164715,0.006416666666666667,38.75
0.35752197361222865,-0.6312677408209263,0.006458333333333333,39.0
0.3598285669903721,-0.6269955111477664,0.0065,39.25
0.36213516036851545,-0.6226158490215532,0.006541666666666666,39.5
0.3644417537466589,-0.6181295048748453,0.006583333333333333,39.75
0.3667483471248023,-0.6135372474196165,0.006625,40.0
0.36905494050294574,-0.6088398635155405,0.006666666666666666,40.25
0.3713615338810891,-0.6040381580351677,0.0067083333333333335,40.5
0.37366812725923254,-0.599132953726012,0.00675,40.75
0.37597472063737597,-0.5941250910695807,0.006791666666666666,41.0
0.37828131401551934,-0.5890154281373585,0.006833333333333333,41.25
0.38058790739366277,-0.5838048404437851,0.006875,41.5
0.3828945007718062,-0.5784942207962369,0.0069166666666666664,41.75
0.3852010941499496,-0.5730844791420519,0.006958333333333333,42.0
0.387507687528093,-0.5675765424126126,0.007,42.25
0.38981428090623643,-0.5619713543645231,0.0070416666666666666,42.5
0.3921208742843798,-0.5562698754178995,0.007083333333333333,42.75
0.39442746766252323,-0.5504730824918083,0.007124999999999999,43.0
0.39673406104066666,-0.5445819688368753,0.007166666666666667,43.25
0.39904065441881004,-0.5385975438650977,0.007208333333333333,43.5
0.40134724779695347,-0.5325208329768866,0.0072499999999999995,43.75
0.4036538411750969,-0.5263528773853696,0.007291666666666667,44.0
0.40596043455324027,-0.5200947339379848,0.007333333333333333,44.25
0.4082670279313837,-0.5137474749353946,0.007375,44.5
0.4105736213095271,-0.5073121879477533,0.007416666666666666,44.75
0.4128802146876705,-0.5007899756283577,0.007458333333333333,45.0
0.41518680806581393,-0.4941819555247118,0.0075,45.25
0.41749340144395736,-0.48748925988704256,0.007541666666666666,45.5
0.41979999482210073,-0.48071303547429317,0.007583333333333333,45.75
0.42210658820024416,-0.4738544433576326,0.007625,46.0
0.4244131815783876,-0.4669146587215123,0.007666666666666666,46.25
0.42671977495653096,-0.4598948706623031,0.007708333333333333,46.5
0.4290263683346744,-0.4527962819845513,0.00775,46.75
0.4313329617128178,-0.44562010899488297,0.007791666666666666,47.0
0.4336395550909612,-0.438367581293597,0.007833333333333333,47.25
