id,iq,torque,current angle
-0.0,1.0,0.011064702143008724,-0.0
-0.0,11.0,0.12171172357309597,-0.0
-0.0,21.0,0.2323587450031832,-0.0
-0.0,31.0,0.3430057664332704,-0.0
-0.0,41.0,0.45365278786335766,-0.0
-0.0,51.0,0.5642998092934449,-0.0
-0.0,61.0,0.6749468307235321,-0.0
-0.6195840205,70.9972965401,0.7855955622372972,-0.5
-0.7068493755,80.99691577109999,0.89624790579391,-0.5
-0.7941147305,90.9965350021,1.0069015039850093,-0.5
-0.8813800855,100.9961542331,1.1175563568105944,-0.5
-0.9686454405,110.9957734641,1.228212464270666,-0.5
-1.0559107955,120.9953926951,1.3388698263652241,-0.5
-1.1431761505,130.9950119261,1.4495284430942683,-0.5
-1.2304415055,140.9946311571,1.5601883144577988,-0.5
-1.3177068605,150.9942503881,1.6708494404558156,-0.5
-1.4049722155,160.9938696191,1.7815118210883185,-0.5
-1.4922375705,170.9934888501,1.892175456355308,-0.5
-1.5795029255000002,180.9931080811,2.0028403462567836,-0.5
-1.6667682805000001,190.9927273121,2.1135064907927457,-0.5
-1.7540336355000001,200.99234654309998,2.2241738899631938,-0.5
-3.6824577504,210.9678636872,2.3348550641902808,-1.0
-3.8569818143999997,220.9663406392,2.445539425502626,-1.0
-4.0315058784,230.96481759120002,2.556226295701765,-1.0
-4.2060299424,240.96329454320002,2.6669156747876968,-1.0
-4.3805540064,250.96177149520003,2.777607562760421,-1.0
-4.5550780704,260.9602484472,2.8883019596199384,-1.0
-4.729602134399999,270.95872539920003,2.9989988653662487,-1.0
-4.904126198399999,280.9572023512,3.109698279999352,-1.0
-5.078650262399999,290.95567930320004,3.2204002035192487,-1.0
-5.2531743264,300.9541562552,3.331104635925938,-1.0
-5.4276983904,310.9526332072,3.44181157721942,-1.0
-5.6022224544,320.9511101592,3.5525210273996954,-1.0
-5.7767465183999995,330.9495871112,3.663232986466763,-1.0
-8.9263393703,340.88314782500004,3.7739579598208626,-1.5
-9.1881088533,350.879721075,3.8846972434536653,-1.5
-9.4498783363,360.876294325,3.9954402894613454,-1.5
-9.7116478193,370.87286757500004,4.106187097843904,-1.5
-9.9734173023,380.869440825,4.216937668601341,-1.5
-10.2351867853,390.866014075,4.327692001733656,-1.5
-10.4969562683,400.862587325,4.438450097240849,-1.5
-10.7587257513,410.85916057500003,4.54921195512292,-1.5
-11.0204952343,420.855733825,4.65997757537987,-1.5
-11.2822647173,430.852307075,4.770746958011697,-1.5
-11.544034200299999,440.84888032500004,4.881520103018402,-1.5
-11.805803683299999,450.845453575,4.9922970103999855,-1.5
-12.067573166299999,460.842026825,5.103077680156447,-1.5
-16.437662945699998,470.71307951700004,5.213862368737334,-2.0
-16.786657912699997,480.706987787,5.324680687514059,-2.0
-17.1356528797,490.700896057,5.435504021007688,-2.0
-17.4846478467,500.69480432700004,5.546332369218222,-2.0
-17.8336428137,510.688712597,5.657165732145658,-2.0
-18.1826377807,520.682620867,5.768004109789999,-2.0
-18.531632747699998,530.676529137,5.878847502151244,-2.0
-18.880627714699997,540.670437407,5.989695909229393,-2.0
-19.229622681699997,550.664345677,6.100549331024446,-2.0
-19.5786176487,560.658253947,6.211407767536402,-2.0
-19.9276126157,570.6521622170001,6.3222712187652625,-2.0
-20.2766075827,580.646070487,6.433139684711025,-2.0
-20.625602549699998,590.639978757,6.544013165373694,-2.0
-20.974597516699998,600.633887027,6.6548916607532655,-2.0
-26.6514457014,610.4184633976,6.765793752332385,-2.5
-27.0876395754,620.4089456135999,6.876721419051886,-2.5
