Length,B.n,time
0.0,-0.0005390148400266276,0.0
0.0023065933781434107,-0.009816389559942885,4.1666666666666665e-05
0.004613186756286821,-0.019092082292042956,8.333333333333333e-05
0.006919780134430232,-0.028364503694128598,0.000125
0.009226373512573643,-0.03763206498452711,0.00016666666666666666
0.011532966890717054,-0.04689317821432092,0.00020833333333333332
0.013839560268860464,-0.05614625653943445,0.00025
0.016146153647003874,-0.06538971449253167,0.00029166666666666664
0.018452747025147286,-0.07462196825467776,0.0003333333333333333
0.020759340403290697,-0.08384143592671836,0.000375
0.02306593378143411,-0.09304653780032979,0.00041666666666666664
0.025372527159577517,-0.10223569662869403,0.0004583333333333333
0.02767912053772093,-0.11140733789675175,0.0005
0.02998571391586434,-0.12055989009098739,0.0005416666666666666
0.03229230729400775,-0.12969178496869999,0.0005833333333333333
0.03459890067215116,-0.1388014578267133,0.000625
0.03690549405029457,-0.14788734776947987,0.0006666666666666666
0.03921208742843798,-0.15694789797653227,0.0007083333333333333
0.041518680806581394,-0.1659815559692364,0.00075
0.0438252741847248,-0.17498677387680056,0.0007916666666666666
0.04613186756286822,-0.18396200870149532,0.0008333333333333333
0.048438460941011625,-0.1929057225830381,0.000875
0.050745054319155034,-0.20181638306209762,0.0009166666666666666
0.05305164769729845,-0.2106924633428731,0.0009583333333333333
0.05535824107544186,-0.2195324425547025,0.001
0.057664834453585265,-0.22833480601265624,0.0010416666666666667
0.05997142783172868,-0.2370980454770705,0.0010833333333333333
0.06227802120987209,-0.2458206594119763,0.001125
0.0645846145880155,-0.25450115324238015,0.0011666666666666665
0.06689120796615891,-0.2631380396103514,0.0012083333333333334
0.06919780134430233,-0.27172983862987377,0.00125
0.07150439472244573,-0.2802750781404159,0.0012916666666666667
0.07381098810058914,-0.2887722939591787,0.0013333333333333333
0.07611758147873256,-0.29722003013197545,0.001375
0.07842417485687596,-0.305616839182702,0.0014166666666666666
0.08073076823501937,-0.31396128236135434,0.0014583333333333332
0.08303736161316279,-0.3222519298905512,0.0015
0.08534395499130619,-0.33048736121051875,0.0015416666666666667
0.0876505483694496,-0.3386661652224965,0.0015833333333333333
0.08995714174759302,-0.3467869405305215,0.001625
0.09226373512573643,-0.35484829568155074,0.0016666666666666666
0.09457032850387984,-0.3628488494038788,0.0017083333333333332
0.09687692188202325,-0.3707872308438126,0.00175
0.09918351526016667,-0.37866207980055916,0.0017916666666666667
0.10149010863831007,-0.38647204695928966,0.0018333333333333333
0.10379670201645348,-0.39421579412233715,0.001875
0.1061032953945969,-0.40189199443849033,0.0019166666666666666
0.1084098887727403,-0.409499332630342,0.001958333333333333
0.11071648215088371,-0.41703650521965585,0.002
0.11302307552902713,-0.4245022207507101,0.0020416666666666665
0.11532966890717053,-0.4318952000115821,0.0020833333333333333
0.11763626228531394,-0.4392141762533347,0.0021249999999999997
0.11994285566345736,-0.446457895407067,0.0021666666666666666
0.12224944904160076,-0.4536251162987929,0.0022083333333333334
0.12455604241974418,-0.46071461086210946,0.00225
0.1268626357978876,-0.46772516434862005,0.0022916666666666667
0.129169229176031,-0.47465557553607535,0.002333333333333333
0.13147582255417442,-0.48150465693419603,0.002375
0.13378241593231782,-0.4882712349881437,0.002416666666666667
0.13608900931046122,-0.4949541502796034,0.002458333333333333
0.13839560268860465,-0.5015522577254437,0.0025
0.14070219606674805,-0.5080644267739207,0.0025416666666666665
0.14300878944489145,-0.5144895415983929,0.0025833333333333333
0.14531538282303488,-0.5208265012885115,0.0026249999999999997
0.14762197620117828,-0.5270742200388565,0.0026666666666666666
0.14992856957932169,-0.5332316273349834,0.0027083333333333334
0.15223516295746511,-0.5392976681368503,0.00275
0.15454175633560852,-0.545271303059594,0.0027916666666666667
0.15684834971375192,-0.5511515085516226,0.002833333333333333
0.15915494309189535,-0.5569372770699969,0.002875
0.16146153647003875,-0.5626276172530661,0.0029166666666666664
0.16376812984818215,-0.5682215540903337,0.002958333333333333
0.16607472322632558,-0.5737181290895207,0.003
0.16838131660446898,-0.579116400440797,0.0030416666666666665
0.17068790998261238,-0.5844154431781573,0.0030833333333333333
0.1729945033607558,-0.5896143493379078,0.0031249999999999997
0.1753010967388992,-0.5947122281142423,0.0031666666666666666
0.1776076901170426,-0.5997082060118764,0.0032083333333333334
0.17991428349518604,-0.6046014269957165,0.00325
0.18222087687332944,-0.6093910526375377,0.0032916666666666667
0.18452747025147287,-0.6140762622596432,0.003333333333333333
0.18683406362961627,-0.6186562530754834,0.003375
0.18914065700775967,-0.6231302403272105,0.0034166666666666664
0.1914472503859031,-0.6274974574201406,0.0034583333333333332
0.1937538437640465,-0.6317571560541076,0.0035
0.1960604371421899,-0.6359086063516795,0.0035416666666666665
0.19836703052033333,-0.6399510969832195,0.0035833333333333333
0.20067362389847673,-0.6438839352887686,0.0036249999999999998
0.20298021727662013,-0.6477064473967296,0.0036666666666666666
0.20528681065476356,-0.651417978339331,0.003708333333333333
0.20759340403290696,-0.6550178921648528,0.00375
0.20989999741105037,-0.6585055720465935,0.0037916666666666667
0.2122065907891938,-0.6618804203885601,0.003833333333333333
0.2145131841673372,-0.6651418589278627,0.003875
0.2168197775454806,-0.6682893288337978,0.003916666666666666
0.21912637092362403,-0.6713222908036001,0.003958333333333333
0.22143296430176743,-0.6742402251548495,0.004
0.22373955767991083,-0.677042631914517,0.0040416666666666665
0.22604615105805426,-0.6797290309046309,0.004083333333333333
0.22835274443619766,-0.6822989618245539,0.004125
0.23065933781434106,-0.6847519843298528,0.004166666666666667
0.2329659311924845,-0.6870876781077498,0.004208333333333333
