Length,B.n,time
0.0,0.04586215787855946,0.0
0.0023065933781434107,0.0466957158924682,4.1666666666666665e-05
0.004613186756286821,0.04784505267805944,8.333333333333333e-05
0.006919780134430232,0.04734793446135179,0.000125
0.009226373512573643,0.04588724307627012,0.00016666666666666666
0.011532966890717054,0.04586517346340806,0.00020833333333333332
0.013839560268860464,0.04722153301588284,0.00025
0.016146153647003874,0.04730079806950557,0.00029166666666666664
0.018452747025147286,0.04545908533986975,0.0003333333333333333
0.020759340403290697,0.04450112250883343,0.000375
0.02306593378143411,0.04596216536771237,0.00041666666666666664
0.025372527159577517,0.04714190284238014,0.0004583333333333333
0.02767912053772093,0.04550716867932544,0.0005
0.02998571391586434,0.04336433936248389,0.0005416666666666666
0.03229230729400775,0.04437953639392898,0.0005833333333333333
0.03459890067215116,0.04717366504980337,0.000625
0.03690549405029457,0.04702596418212878,0.0006666666666666666
0.03921208742843798,0.04356012081459409,0.0007083333333333333
0.041518680806581394,0.0415401429277975,0.00075
0.0438252741847248,0.04271111812922322,0.0007916666666666666
0.04613186756286822,0.04202588804658804,0.0008333333333333333
0.048438460941011625,0.03509197563371372,0.000875
0.050745054319155034,0.0247218468408393,0.0009166666666666666
0.05305164769729845,0.01508812696856992,0.0009583333333333333
0.05535824107544186,0.002836214012846994,0.001
0.057664834453585265,-0.01906637626752258,0.0010416666666666667
0.05997142783172868,-0.04978171815587758,0.0010833333333333333
0.06227802120987209,-0.08092144035504514,0.001125
0.0645846145880155,-0.1102032387362903,0.0011666666666666665
0.06689120796615891,-0.1465417286277944,0.0012083333333333334
0.06919780134430233,-0.1959343710863403,0.00125
0.07150439472244573,-0.2488898846071943,0.0012916666666666667
0.07381098810058914,-0.2911435922307759,0.0013333333333333333
0.07611758147873256,-0.3243122628963079,0.001375
0.07842417485687596,-0.3651534305562228,0.0014166666666666666
0.08073076823501937,-0.4219325898550523,0.0014583333333333332
0.08303736161316279,-0.4811459788101328,0.0015
0.08534395499130619,-0.5242083092915889,0.0015416666666666667
0.0876505483694496,-0.5506364902963036,0.0015833333333333333
0.08995714174759302,-0.575609820219358,0.001625
0.09226373512573643,-0.6075984045990175,0.0016666666666666666
0.09457032850387984,-0.6389460907532538,0.0017083333333333332
0.09687692188202325,-0.6602588276228825,0.00175
0.09918351526016667,-0.6744105721117076,0.0017916666666666667
0.10149010863831007,-0.6901622202314274,0.0018333333333333333
0.10379670201645348,-0.7081682820688302,0.001875
0.1061032953945969,-0.7216025984785103,0.0019166666666666666
0.1084098887727403,-0.7284401757194903,0.001958333333333333
0.11071648215088371,-0.7348619273812588,0.002
0.11302307552902713,-0.7453571797120103,0.0020416666666666665
0.11532966890717053,-0.756368326450644,0.0020833333333333333
0.11763626228531394,-0.7631018498798979,0.0021249999999999997
0.11994285566345736,-0.7674790378186503,0.0021666666666666666
0.12224944904160076,-0.7745194827708005,0.0022083333333333334
0.12455604241974418,-0.7839508919351829,0.00225
0.1268626357978876,-0.7908789903620598,0.0022916666666666667
0.129169229176031,-0.7937630755402941,0.002333333333333333
0.13147582255417442,-0.7963749075139416,0.002375
0.13378241593231782,-0.8010396936980773,0.002416666666666667
0.13608900931046122,-0.8046274882765951,0.002458333333333333
0.13839560268860465,-0.8035663024703454,0.0025
0.14070219606674805,-0.7993385602641923,0.0025416666666666665
0.14300878944489145,-0.7958649380829641,0.0025833333333333333
0.14531538282303488,-0.7937423958756485,0.0026249999999999997
0.14762197620117828,-0.7906696264816532,0.0026666666666666666
0.14992856957932169,-0.7864389071971097,0.0027083333333333334
0.15223516295746511,-0.7836952793662918,0.00275
0.15454175633560852,-0.783601691102398,0.0027916666666666667
0.15684834971375192,-0.7842340302467772,0.002833333333333333
0.15915494309189535,-0.7843556227580072,0.002875
0.16146153647003875,-0.7856999046197083,0.0029166666666666664
0.16376812984818215,-0.7895608066275248,0.002958333333333333
0.16607472322632558,-0.7936327505454469,0.003
0.16838131660446898,-0.7950333524427183,0.0030416666666666665
0.17068790998261238,-0.7949316187424862,0.0030833333333333333
0.1729945033607558,-0.7969356408186262,0.0031249999999999997
0.1753010967388992,-0.8013397582281211,0.0031666666666666666
0.1776076901170426,-0.8043114124240827,0.0032083333333333334
0.17991428349518604,-0.8034196954426502,0.00325
0.18222087687332944,-0.8008606379226983,0.0032916666666666667
0.18452747025147287,-0.7995656196759594,0.003333333333333333
0.18683406362961627,-0.7987303309548901,0.003375
0.18914065700775967,-0.7957753317901237,0.0034166666666666664
0.1914472503859031,-0.7910144386441582,0.0034583333333333332
0.1937538437640465,-0.787221536232273,0.0035
0.1960604371421899,-0.7852246355270462,0.0035416666666666665
0.19836703052033333,-0.7832645916634683,0.0035833333333333333
0.20067362389847673,-0.7810134078490938,0.0036249999999999998
0.20298021727662013,-0.7807326000558401,0.0036666666666666666
0.20528681065476356,-0.7829039426252685,0.003708333333333333
0.20759340403290696,-0.7839346984175499,0.00375
0.20989999741105037,-0.7810895997562056,0.0037916666666666667
0.2122065907891938,-0.7773316406518797,0.003833333333333333
0.2145131841673372,-0.7772192917959764,0.003875
0.2168197775454806,-0.7789575183777481,0.003916666666666666
0.21912637092362403,-0.7752014325269629,0.003958333333333333
0.22143296430176743,-0.7622642975618077,0.004
0.22373955767991083,-0.7430654471171327,0.0040416666666666665
0.22604615105805426,-0.717774084663314,0.004083333333333333
0.22835274443619766,-0.676840495310476,0.004125
0.23065933781434106,-0.610966210410523,0.004166666666666667
0.2329659311924845,-0.5277268846851983,0.004208333333333333
0.2352725245706279,-0.4508095256006118,0.0042499999999999994
