id,iq,torque,current angle
-0.0087265355,0.9999619231,0.03650607321079219,-0.5
-0.6715339345,10.9794827824,0.4022241673200074,-3.5
-2.1950977293,20.8849598034,0.7711855612912796,-6.0
-4.849468415,30.6183385586,1.146130278111109,-9.0
-8.1740853104,40.1769128886,1.5294678886426674,-11.5
-11.9057135589,49.5908659404,1.923215812683042,-13.5
-16.8138787038,58.6369634499,2.329053367460083,-16.0
-21.3501117645,67.7139034997,2.7483052722481216,-17.5
-27.0383555952,76.35396077909999,3.1820026574830207,-19.5
-32.6114834045,84.9558188115,3.6309865854927796,-21.0
-37.8352659334,93.6455693146,4.0958948553959935,-22.0
-44.2611466479,101.7936682584,4.5773169599311085,-23.5
-50.177882366700004,110.1053137789,5.075595376862291,-24.5
-56.396953680799996,118.23867224329999,5.591088316707139,-25.5
-62.9138916471,126.1857449856,6.12407409675457,-26.5
-69.7240405932,133.9386358132,6.674701311164752,-27.5
-75.58492161080001,142.1545624569,7.243396541330804,-28.0
-82.9024450542,149.5599699141,7.829938157639624,-29.0
-89.1286643781,157.5343809579,8.434918833784296,-29.5
-95.5,165.4108521258,9.05810945046251,-30.0
-102.015210963,173.1874612404,9.699658898567975,-30.5
-108.6730338039,180.8623004477,10.35968273697089,-31.0
-115.4721827987,188.4334763324,11.038262851130483,-31.5
